passer,team,passerid,down,completion,int,td
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,1
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,4,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,1
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,1,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,1,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,1,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Complete,0,1
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,1,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,NA,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,1,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,1
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,1
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,4,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,2,Complete,0,1
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,1,Complete,0,1
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,1,Complete,0,0
T.Brady,NE,0,3,Incomplete Pass,0,0
T.Brady,NE,0,1,Incomplete Pass,0,0
T.Brady,NE,0,2,Complete,0,0
T.Brady,NE,0,3,Complete,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
T.Brady,NE,0,2,Incomplete Pass,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,1,Incomplete Pass,0,0
A.Smith,KC,1,3,Complete,0,1
A.Smith,KC,1,1,Incomplete Pass,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,2,Incomplete Pass,0,0
A.Smith,KC,1,3,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,3,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,2,Complete,0,1
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,3,Complete,0,0
A.Smith,KC,1,1,Complete,0,1
A.Smith,KC,1,2,Incomplete Pass,0,0
A.Smith,KC,1,3,Incomplete Pass,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,1,Complete,0,1
A.Smith,KC,1,1,Incomplete Pass,0,0
A.Smith,KC,1,3,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,1,Incomplete Pass,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,1,Complete,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,1,Incomplete Pass,0,0
A.Smith,KC,1,3,Incomplete Pass,0,0
A.Smith,KC,1,2,Complete,0,0
A.Smith,KC,1,3,Complete,0,0
